name,oppName,runs,balls,four,six,sr,venue,date
Gulbadin Naib (c),South Africa,5,11,0,0,45.45,Cardiff,Jun 15 2019
Gulbadin Naib (c),Pakistan,15,12,3,0,125.00,Leeds,Jun 29 2019
Gulbadin Naib (c),Bangladesh,47,75,3,0,62.66,Southampton,Jun 24 2019
Gulbadin Naib (c),New Zealand,4,4,1,0,100.00,Taunton,Jun 8 2019
Gulbadin Naib (c),England,37,28,4,1,132.14,Manchester,Jun 18 2019
Gulbadin Naib (c),Australia,31,33,4,1,93.93,Bristol,Jun 1 2019
Gulbadin Naib (c),India,27,42,2,0,64.28,Southampton,Jun 22 2019
Gulbadin Naib (c),West Indies,5,6,1,0,83.33,Leeds,Jul 4 2019
Gulbadin Naib (c),Sri Lanka,23,32,2,0,71.87,Cardiff,Jun 4 2019
